,sdev,lookback,filter
0,3,30,0
1,3,30,1
2,3,30,2
3,3,40,0
4,3,40,1
5,3,40,2
6,3,50,0
7,3,50,1
8,3,50,2
9,3,60,0
10,3,60,1
11,3,60,2
12,3,70,0
13,3,70,1
14,3,70,2
15,3,80,0
16,3,80,1
17,3,80,2
18,3,90,0
19,3,90,1
20,3,90,2
21,3,100,0
22,3,100,1
23,3,100,2
24,3,110,0
25,3,110,1
26,3,110,2
27,3,120,0
28,3,120,1
29,3,120,2
30,3,130,0
31,3,130,1
32,3,130,2
33,3,140,0
34,3,140,1
35,3,140,2
36,3,150,0
37,3,150,1
38,3,150,2
39,3,160,0
40,3,160,1
41,3,160,2
42,3,170,0
43,3,170,1
44,3,170,2
45,3,180,0
46,3,180,1
47,3,180,2
48,3,190,0
49,3,190,1
50,3,190,2
51,3,200,0
52,3,200,1
53,3,200,2
54,3,210,0
55,3,210,1
56,3,210,2
57,3,220,0
58,3,220,1
59,3,220,2
60,3,230,0
61,3,230,1
62,3,230,2
63,3,240,0
64,3,240,1
65,3,240,2
66,3,250,0
67,3,250,1
68,3,250,2
69,3,260,0
70,3,260,1
71,3,260,2
72,3,270,0
73,3,270,1
74,3,270,2
75,3,280,0
76,3,280,1
77,3,280,2
78,3,290,0
79,3,290,1
80,3,290,2
81,3,300,0
82,3,300,1
83,3,300,2
84,3,310,0
85,3,310,1
86,3,310,2
87,3,320,0
88,3,320,1
89,3,320,2
90,3,330,0
91,3,330,1
92,3,330,2
93,3,340,0
94,3,340,1
95,3,340,2
96,3,350,0
97,3,350,1
98,3,350,2
99,3,360,0
100,3,360,1
101,3,360,2
102,3,370,0
103,3,370,1
104,3,370,2
105,3,380,0
106,3,380,1
107,3,380,2
108,3,390,0
109,3,390,1
110,3,390,2
111,3,400,0
112,3,400,1
113,3,400,2
114,3,410,0
115,3,410,1
116,3,410,2
117,3,420,0
118,3,420,1
119,3,420,2
120,3,430,0
121,3,430,1
122,3,430,2
123,3,440,0
124,3,440,1
125,3,440,2
126,3,450,0
127,3,450,1
128,3,450,2
129,3,460,0
130,3,460,1
131,3,460,2
132,3,470,0
133,3,470,1
134,3,470,2
135,3,480,0
136,3,480,1
137,3,480,2
138,4,30,0
139,4,30,1
140,4,30,2
141,4,40,0
142,4,40,1
143,4,40,2
144,4,50,0
145,4,50,1
146,4,50,2
147,4,60,0
148,4,60,1
149,4,60,2
150,4,70,0
151,4,70,1
152,4,70,2
153,4,80,0
154,4,80,1
155,4,80,2
156,4,90,0
157,4,90,1
158,4,90,2
159,4,100,0
160,4,100,1
161,4,100,2
162,4,110,0
163,4,110,1
164,4,110,2
165,4,120,0
166,4,120,1
167,4,120,2
168,4,130,0
169,4,130,1
170,4,130,2
171,4,140,0
172,4,140,1
173,4,140,2
174,4,150,0
175,4,150,1
176,4,150,2
177,4,160,0
178,4,160,1
179,4,160,2
180,4,170,0
181,4,170,1
182,4,170,2
183,4,180,0
184,4,180,1
185,4,180,2
186,4,190,0
187,4,190,1
188,4,190,2
189,4,200,0
190,4,200,1
191,4,200,2
192,4,210,0
193,4,210,1
194,4,210,2
195,4,220,0
196,4,220,1
197,4,220,2
198,4,230,0
199,4,230,1
200,4,230,2
201,4,240,0
202,4,240,1
203,4,240,2
204,4,250,0
205,4,250,1
206,4,250,2
207,4,260,0
208,4,260,1
209,4,260,2
210,4,270,0
211,4,270,1
212,4,270,2
213,4,280,0
214,4,280,1
215,4,280,2
216,4,290,0
217,4,290,1
218,4,290,2
219,4,300,0
220,4,300,1
221,4,300,2
222,4,310,0
223,4,310,1
224,4,310,2
225,4,320,0
226,4,320,1
227,4,320,2
228,4,330,0
229,4,330,1
230,4,330,2
231,4,340,0
232,4,340,1
233,4,340,2
234,4,350,0
235,4,350,1
236,4,350,2
237,4,360,0
238,4,360,1
239,4,360,2
240,4,370,0
241,4,370,1
242,4,370,2
243,4,380,0
244,4,380,1
245,4,380,2
246,4,390,0
247,4,390,1
248,4,390,2
249,4,400,0
250,4,400,1
251,4,400,2
252,4,410,0
253,4,410,1
254,4,410,2
255,4,420,0
256,4,420,1
257,4,420,2
258,4,430,0
259,4,430,1
260,4,430,2
261,4,440,0
262,4,440,1
263,4,440,2
264,4,450,0
265,4,450,1
266,4,450,2
267,4,460,0
268,4,460,1
269,4,460,2
270,4,470,0
271,4,470,1
272,4,470,2
273,4,480,0
274,4,480,1
275,4,480,2
276,5,30,0
277,5,30,1
278,5,30,2
279,5,40,0
280,5,40,1
281,5,40,2
282,5,50,0
283,5,50,1
284,5,50,2
285,5,60,0
286,5,60,1
287,5,60,2
288,5,70,0
289,5,70,1
290,5,70,2
291,5,80,0
292,5,80,1
293,5,80,2
294,5,90,0
295,5,90,1
296,5,90,2
297,5,100,0
298,5,100,1
299,5,100,2
300,5,110,0
301,5,110,1
302,5,110,2
303,5,120,0
304,5,120,1
305,5,120,2
306,5,130,0
307,5,130,1
308,5,130,2
309,5,140,0
310,5,140,1
311,5,140,2
312,5,150,0
313,5,150,1
314,5,150,2
315,5,160,0
316,5,160,1
317,5,160,2
318,5,170,0
319,5,170,1
320,5,170,2
321,5,180,0
322,5,180,1
323,5,180,2
324,5,190,0
325,5,190,1
326,5,190,2
327,5,200,0
328,5,200,1
329,5,200,2
330,5,210,0
331,5,210,1
332,5,210,2
333,5,220,0
334,5,220,1
335,5,220,2
336,5,230,0
337,5,230,1
338,5,230,2
339,5,240,0
340,5,240,1
341,5,240,2
342,5,250,0
343,5,250,1
344,5,250,2
345,5,260,0
346,5,260,1
347,5,260,2
348,5,270,0
349,5,270,1
350,5,270,2
351,5,280,0
352,5,280,1
353,5,280,2
354,5,290,0
355,5,290,1
356,5,290,2
357,5,300,0
358,5,300,1
359,5,300,2
360,5,310,0
361,5,310,1
362,5,310,2
363,5,320,0
364,5,320,1
365,5,320,2
366,5,330,0
367,5,330,1
368,5,330,2
369,5,340,0
370,5,340,1
371,5,340,2
372,5,350,0
373,5,350,1
374,5,350,2
375,5,360,0
376,5,360,1
377,5,360,2
378,5,370,0
379,5,370,1
380,5,370,2
381,5,380,0
382,5,380,1
383,5,380,2
384,5,390,0
385,5,390,1
386,5,390,2
387,5,400,0
388,5,400,1
389,5,400,2
390,5,410,0
391,5,410,1
392,5,410,2
393,5,420,0
394,5,420,1
395,5,420,2
396,5,430,0
397,5,430,1
398,5,430,2
399,5,440,0
400,5,440,1
401,5,440,2
402,5,450,0
403,5,450,1
404,5,450,2
405,5,460,0
406,5,460,1
407,5,460,2
408,5,470,0
409,5,470,1
410,5,470,2
411,5,480,0
412,5,480,1
413,5,480,2
414,6,30,0
415,6,30,1
416,6,30,2
417,6,40,0
418,6,40,1
419,6,40,2
420,6,50,0
421,6,50,1
422,6,50,2
423,6,60,0
424,6,60,1
425,6,60,2
426,6,70,0
427,6,70,1
428,6,70,2
429,6,80,0
430,6,80,1
431,6,80,2
432,6,90,0
433,6,90,1
434,6,90,2
435,6,100,0
436,6,100,1
437,6,100,2
438,6,110,0
439,6,110,1
440,6,110,2
441,6,120,0
442,6,120,1
443,6,120,2
444,6,130,0
445,6,130,1
446,6,130,2
447,6,140,0
448,6,140,1
449,6,140,2
450,6,150,0
451,6,150,1
