,sdev,lookback,filter
0,3,30,0
1,3,30,1
2,3,30,2
3,3,32,0
4,3,32,1
5,3,32,2
6,3,34,0
7,3,34,1
8,3,34,2
9,3,36,0
10,3,36,1
11,3,36,2
12,3,38,0
13,3,38,1
14,3,38,2
15,3,40,0
16,3,40,1
17,3,40,2
18,3,42,0
19,3,42,1
20,3,42,2
21,3,44,0
22,3,44,1
23,3,44,2
24,3,46,0
25,3,46,1
26,3,46,2
27,3,48,0
28,3,48,1
29,3,48,2
30,3,50,0
31,3,50,1
32,3,50,2
33,3,52,0
34,3,52,1
35,3,52,2
36,3,54,0
37,3,54,1
38,3,54,2
39,3,56,0
40,3,56,1
41,3,56,2
42,3,58,0
43,3,58,1
44,3,58,2
45,3,60,0
46,3,60,1
47,3,60,2
48,3,62,0
49,3,62,1
50,3,62,2
51,3,64,0
52,3,64,1
53,3,64,2
54,3,66,0
55,3,66,1
56,3,66,2
57,3,68,0
58,3,68,1
59,3,68,2
60,3,70,0
61,3,70,1
62,3,70,2
63,3,72,0
64,3,72,1
65,3,72,2
66,3,74,0
67,3,74,1
68,3,74,2
69,3,76,0
70,3,76,1
71,3,76,2
72,3,78,0
73,3,78,1
74,3,78,2
75,3,80,0
76,3,80,1
77,3,80,2
78,3,82,0
79,3,82,1
80,3,82,2
81,3,84,0
82,3,84,1
83,3,84,2
84,3,86,0
85,3,86,1
86,3,86,2
87,3,88,0
88,3,88,1
89,3,88,2
90,3,90,0
91,3,90,1
92,3,90,2
93,3,92,0
94,3,92,1
95,3,92,2
96,3,94,0
97,3,94,1
98,3,94,2
99,3,96,0
100,3,96,1
101,3,96,2
102,3,98,0
103,3,98,1
104,3,98,2
105,3,100,0
106,3,100,1
107,3,100,2
108,3,102,0
109,3,102,1
110,3,102,2
111,3,104,0
112,3,104,1
113,3,104,2
114,3,106,0
115,3,106,1
116,3,106,2
117,3,108,0
118,3,108,1
119,3,108,2
120,3,110,0
121,3,110,1
122,3,110,2
123,3,112,0
124,3,112,1
125,3,112,2
126,3,114,0
127,3,114,1
128,3,114,2
129,3,116,0
130,3,116,1
131,3,116,2
132,3,118,0
133,3,118,1
134,3,118,2
135,3,120,0
136,3,120,1
137,3,120,2
138,3,122,0
139,3,122,1
140,3,122,2
141,3,124,0
142,3,124,1
143,3,124,2
144,3,126,0
145,3,126,1
146,3,126,2
147,3,128,0
148,3,128,1
149,3,128,2
150,3,130,0
151,3,130,1
152,3,130,2
153,3,132,0
154,3,132,1
155,3,132,2
156,3,134,0
157,3,134,1
158,3,134,2
159,3,136,0
160,3,136,1
161,3,136,2
162,3,138,0
163,3,138,1
164,3,138,2
165,3,140,0
166,3,140,1
167,3,140,2
168,3,142,0
169,3,142,1
170,3,142,2
171,3,144,0
172,3,144,1
173,3,144,2
174,3,146,0
175,3,146,1
176,3,146,2
177,3,148,0
178,3,148,1
179,3,148,2
180,3,150,0
181,3,150,1
182,3,150,2
183,3,152,0
184,3,152,1
185,3,152,2
186,3,154,0
187,3,154,1
188,3,154,2
189,3,156,0
190,3,156,1
191,3,156,2
192,3,158,0
193,3,158,1
194,3,158,2
195,3,160,0
196,3,160,1
197,3,160,2
198,3,162,0
199,3,162,1
200,3,162,2
201,3,164,0
202,3,164,1
203,3,164,2
204,3,166,0
205,3,166,1
206,3,166,2
207,3,168,0
208,3,168,1
209,3,168,2
210,3,170,0
211,3,170,1
212,3,170,2
213,3,172,0
214,3,172,1
215,3,172,2
216,3,174,0
217,3,174,1
218,3,174,2
219,3,176,0
220,3,176,1
221,3,176,2
222,3,178,0
223,3,178,1
224,3,178,2
225,3,180,0
226,3,180,1
227,3,180,2
228,3,182,0
229,3,182,1
230,3,182,2
231,3,184,0
232,3,184,1
233,3,184,2
234,3,186,0
235,3,186,1
236,3,186,2
237,3,188,0
238,3,188,1
239,3,188,2
240,4,30,0
241,4,30,1
242,4,30,2
243,4,32,0
244,4,32,1
245,4,32,2
246,4,34,0
247,4,34,1
248,4,34,2
249,4,36,0
250,4,36,1
251,4,36,2
252,4,38,0
253,4,38,1
254,4,38,2
255,4,40,0
256,4,40,1
257,4,40,2
258,4,42,0
259,4,42,1
260,4,42,2
261,4,44,0
262,4,44,1
263,4,44,2
264,4,46,0
265,4,46,1
266,4,46,2
267,4,48,0
268,4,48,1
269,4,48,2
270,4,50,0
271,4,50,1
272,4,50,2
273,4,52,0
274,4,52,1
275,4,52,2
276,4,54,0
277,4,54,1
278,4,54,2
279,4,56,0
280,4,56,1
281,4,56,2
282,4,58,0
283,4,58,1
284,4,58,2
285,4,60,0
286,4,60,1
287,4,60,2
288,4,62,0
289,4,62,1
290,4,62,2
291,4,64,0
292,4,64,1
293,4,64,2
294,4,66,0
295,4,66,1
296,4,66,2
297,4,68,0
298,4,68,1
299,4,68,2
300,4,70,0
301,4,70,1
302,4,70,2
303,4,72,0
304,4,72,1
305,4,72,2
306,4,74,0
307,4,74,1
308,4,74,2
309,4,76,0
310,4,76,1
311,4,76,2
312,4,78,0
313,4,78,1
314,4,78,2
315,4,80,0
316,4,80,1
317,4,80,2
318,4,82,0
319,4,82,1
320,4,82,2
321,4,84,0
322,4,84,1
323,4,84,2
324,4,86,0
325,4,86,1
326,4,86,2
327,4,88,0
328,4,88,1
329,4,88,2
330,4,90,0
331,4,90,1
332,4,90,2
333,4,92,0
334,4,92,1
335,4,92,2
336,4,94,0
337,4,94,1
338,4,94,2
339,4,96,0
340,4,96,1
341,4,96,2
342,4,98,0
343,4,98,1
344,4,98,2
345,4,100,0
346,4,100,1
347,4,100,2
348,4,102,0
349,4,102,1
350,4,102,2
351,4,104,0
352,4,104,1
353,4,104,2
354,4,106,0
355,4,106,1
356,4,106,2
357,4,108,0
358,4,108,1
359,4,108,2
360,4,110,0
361,4,110,1
362,4,110,2
363,4,112,0
364,4,112,1
365,4,112,2
366,4,114,0
367,4,114,1
368,4,114,2
369,4,116,0
370,4,116,1
371,4,116,2
372,4,118,0
373,4,118,1
374,4,118,2
375,4,120,0
376,4,120,1
377,4,120,2
378,4,122,0
379,4,122,1
380,4,122,2
381,4,124,0
382,4,124,1
383,4,124,2
384,4,126,0
385,4,126,1
386,4,126,2
387,4,128,0
388,4,128,1
389,4,128,2
390,4,130,0
391,4,130,1
392,4,130,2
393,4,132,0
394,4,132,1
395,4,132,2
396,4,134,0
397,4,134,1
398,4,134,2
399,4,136,0
400,4,136,1
401,4,136,2
402,4,138,0
403,4,138,1
404,4,138,2
405,4,140,0
406,4,140,1
407,4,140,2
408,4,142,0
409,4,142,1
410,4,142,2
411,4,144,0
412,4,144,1
413,4,144,2
414,4,146,0
415,4,146,1
416,4,146,2
417,4,148,0
418,4,148,1
419,4,148,2
420,4,150,0
421,4,150,1
422,4,150,2
423,4,152,0
424,4,152,1
425,4,152,2
426,4,154,0
427,4,154,1
428,4,154,2
429,4,156,0
430,4,156,1
431,4,156,2
432,4,158,0
433,4,158,1
434,4,158,2
435,4,160,0
436,4,160,1
437,4,160,2
438,4,162,0
439,4,162,1
440,4,162,2
441,4,164,0
442,4,164,1
443,4,164,2
444,4,166,0
445,4,166,1
446,4,166,2
447,4,168,0
448,4,168,1
449,4,168,2
450,4,170,0
451,4,170,1
